"evidence_id","doc_id","source_file","page","chunk_index","chunk_text"
"bm25_prf_p01_c001","bm25_prf","bm25_prf.pdf","1","1","Foundations and TrendsR⃝ in Information Retrieval Vol. 3, No. 4 (2009) 333–389 c⃝ 2009 S. Robertson and H. Zaragoza DOI: 10.1561/1500000019 The Probabilistic Relevance Framework: BM25 and Beyond By Stephen Robertson and Hugo Zaragoza Contents 1 Introduction 334 2 Development of the Basic Model 336 2.1 Information Needs and Queries 336 2.2 Binary Relevance 337 2.3 The Probability Ranking Principle 337 2.4 Some Notation 338 2.5 A Note on Probabilities and Rank Equivalence 345 3 Derived Models 347 3.1 The Binary Independence Model 347 3.2 Relevance Feedback and Query Expansion 349 3.3 Blind Feedback 351 3.4 The Eliteness Model and BM25 352 3.5 Uses of BM25 360 3.6 Multiple Streams and BM25F 361 3.7 Non-Textual Relevance Features 365 3.8 Positional Information 367 3.9 Open Source Implementations of BM25 and BM25F 369"
"bm25_prf_p02_c001","bm25_prf","bm25_prf.pdf","2","1","4 Comparison with Other Models 371 4.1 Maron and Kuhns 371 4.2 The Uniﬁed Model 372 4.3 The Simple Language Model 374 4.4 The Relevance (Language) Model 375 4.5 Topic Models 375 4.6 Divergence from Randomness 376 5 Parameter Optimisation 377 5.1 Greedy Optimisation 378 5.2 Multidimensional Optimisation 380 5.3 Gradient Optimisation 382 6 Conclusions 384 References 385"
"bm25_prf_p03_c001","bm25_prf","bm25_prf.pdf","3","1","Foundations and TrendsR⃝ in Information Retrieval Vol. 3, No. 4 (2009) 333–389 c⃝ 2009 S. Robertson and H. Zaragoza DOI: 10.1561/1500000019 The Probabilistic Relevance Framework: BM25 and Beyond Stephen Robertson 1 and Hugo Zaragoza 2 1 Microsoft Research,7JJ Thomson Avenue, Cambridge CB3 0FB, UK ser@microsoft.com 2 Yahoo! Research, Av. Diagonal 177, Barcelona 08028, Spain hugoz@yahoo-inc.com Abstract The Probabilistic Relevance Framework (PRF) is a formal framework for document retrieval, grounded in work done in the 1970–1980s, which led to the development of one of the most successful text-retrieval algo- rithms, BM25. In recent years, research in the PRF has yielded new retrieval models capable of taking into account document meta-data (especially structure and link-graph information). Again, this has led to one of the most successful Web-search and corporate-search algo- rithms, BM25F. This work presents the PRF from a conceptual point of view, describing the probabilistic modelling assumptions behind the framework and the diﬀerent ranking algorithms that result from its application: the binary independence model, relevance feedback mod- els, BM25 and BM25F. It also discusses the relation between the PRF and other statistical models for IR, and covers some related topics, such as the use of non-textual features, and parameter optimisation for models with free parameters."
"bm25_prf_p04_c001","bm25_prf","bm25_prf.pdf","4","1","1 Introduction This monograph addresses theclassical probabilistic model of informa- tion retrieval. The model is characterised by including a speciﬁc notion of relevance, an explicit variable associated with a query–document pair, normally hidden in the sense ofnot observable. The model revolves around the notion of estimating a probability of relevance for each pair, and ranking documents in relation to a given query in descending order of probability of relevance. The best-known instantiation of the model is the BM25 term-weighting and document-scoring function. The model has been developed in stages over a period of about 30 years, with a precursor in 1960. A few of the main references are as follows: [30, 44, 46, 50, 52, 53, 58]; other surveys of a range of proba- bilistic approaches include [14, 17]. Some more detailed references are given below. There are a number of later developments of IR models which are also probabilistic but which diﬀer considerably from the models developed here — speciﬁcally and notably the language model (LM) approach [24, 26, 33] and thedivergence from randomness(DFR) mod- els [2]. For this reason we refer to the family of models developed here as the Probabilistic Relevance Framework(PRF), emphasising the 334"
"bm25_prf_p05_c001","bm25_prf","bm25_prf.pdf","5","1","335 importance of the relevance variable in the development of the models. We do not cover the development of other probabilistic models in the present survey, but some points of comparison are made. This is not primarily an experimental survey; throughout, asser- tions will be made about techniques which are said to work well. In general such statements derive from experimental results, many exper- iments by many people over a long period, which will not in general be fully referenced. The emphasis is on the theoretical development of the methods, the logic and assumptions behind the models. The survey is organised as follows. In Section 2 we develop the most generic retrieval model, which subsumes a number of speciﬁc instanti- ations developed in Section 3. In Section 4 we discuss the similarities and diﬀerences with other retrieval frameworks. Finally in Section 5 we give an overview of optimisation techniques we have used to tune the diﬀerent parameters in the models and Section 6 concludes the survey."
"bm25_prf_p06_c001","bm25_prf","bm25_prf.pdf","6","1","2 Development of the Basic Model 2.1 Information Needs and Queries We start from a notion of information need. We take a query to be a representation (not necessarily very good or very complete) of an individual user’s information need or perhaps search intent. We take relevance to mean the relevance of a document to the information need, as judged by the user. We make no speciﬁc assumption about the conceptual nature of relevance; in particular, we donot assume rel- evance to be topical in nature. 1 We do, however, makes some assump- tions about the formal status of the relevance variable, given below, which might be taken to imply some assumptions about its conceptual nature. 1 The notion of topic, as used in TREC, is somewhat akin to information need, or at least to a more detailed and complete representation and speciﬁcation of an information need. The use of the term ‘topic’ for this purpose is a little unfortunate, as it seems to imply some kind of topical nature of relevance. However, we also note that the widespread use of the term following TREC also includes some examples of non-topical ‘topics’, for example the home-page topics used in the TREC Web track [59]. 336"
"bm25_prf_p07_c001","bm25_prf","bm25_prf.pdf","7","1","2.2 Binary Relevance 337 2.2 Binary Relevance The assumptions about relevance are as follows: 1. Relevance is assumed to be a property of the document given information need only, assessable without reference to other documents; and 2. The relevance property is assumed to be binary. Either of these assumptions is at the least arguable. We might easily imagine situations in which one document’s relevance can only be per- ceived by the user in the context of another document, for example. Regarding the binary property, many recent experimental studies have preferred a graded notion of relevance. One might go further and sug- gest that diﬀerent documents may be relevant to a need in diﬀerent ways, not just to diﬀerent degrees. However, we emphasise that we consider the situation of a single information need (rather than the multiple needs or intents that might be represented by a single text query). If we take relevant to mean ‘the user would like to be pointed to this document’, the binary notion is at least moderately plausible. 2.3 The Probability Ranking Principle Given that an information retrieval system cannot know the values of the relevance property of each document, we assume that the infor- mation available to the system is at best probabilistic. That is, the known (to the system) properties of the document and the query may provide probabilistic or statistical evidence as to the relevance of that document to the underlying need. Potentially these properties may be rich and include a variety of"
"bm25_prf_p07_c002","bm25_prf","bm25_prf.pdf","7","2","the known (to the system) properties of the document and the query may provide probabilistic or statistical evidence as to the relevance of that document to the underlying need. Potentially these properties may be rich and include a variety of diﬀerent kinds of evidence; the only infor- mation assumed to be absent is the actual relevance property itself. Given whatever information is available, the system may make some statistical statement about the possible value of the relevance property. Given a binary document-by-document relevance property, then this statistical information may be completely encapsulated in aprobability of relevance. The probability of relevance of a given document to a"
"bm25_prf_p08_c001","bm25_prf","bm25_prf.pdf","8","1","338 Development of the Basic Model given query plays a central role in the present theory. We can in fact make a general statement about this: If retrieved documents are ordered by decreasing prob- ability of relevance on the data available, then the sys- tem’s eﬀectiveness is the best that can be obtained for the data. This is a statement of the Probability Ranking Principle (PRP), taken from [52], an abbreviated version of the one in [40]. The PRP can be justiﬁed under some further assumptions, for a range of speciﬁc measures of eﬀectiveness. It is not, however, completely general; one can also construct counter-examples. But these counter-examples depend on probabilities deﬁned over a population of users. The PRP is safe for the case considered: an individual user. It will be assumed for the remainder of this work. 2.4 Some Notation In this section, we introduce some of the notation that will be used throughout the survey. The notation assumes a single query q repre- senting a single information need. The ﬁrst symbol is used to indicate that two functions are equivalent as ranking functions. rank equivalence: ∝ q e.g. g() ∝ q h() In developing the model, from the probability of relevance of a doc- ument to a term-weighting and document-scoring function, we make frequent use of transformations which thus preserve rank order. Such a transformation (in a document-scoring function, say) may be linear or non-linear, but must be strictly monotonic, so that if documents are ranked by the"
"bm25_prf_p08_c002","bm25_prf","bm25_prf.pdf","8","2","and document-scoring function, we make frequent use of transformations which thus preserve rank order. Such a transformation (in a document-scoring function, say) may be linear or non-linear, but must be strictly monotonic, so that if documents are ranked by the transformed function, they will be in the same rank order as if they had been ranked by the original function. The property of relevance is represented by a random variable Rel with two possible values: relevance Rel: rel , rel (relevant or not)"
